dw_date,2020,2021,2022,2023,2024,20-yr avg.
04/08/2050,31.2,10.8,8.43,7.86,,33.2675
04/09/2050,28.5,10.8,8.37,7.79,,32.417500000000004
04/10/2050,27.8,10.7,8.33,7.75,,31.825000000000003
04/11/2050,27.5,10.7,8.31,7.71,,31.56375
04/12/2050,27.4,10.5,8.25,7.65,,31.76875
04/13/2050,25.9,10.3,8.18,7.61,,34.545
04/14/2050,24.1,10.3,8.12,7.57,,32.355
04/15/2050,22.7,10.2,8.1,7.55,,30.62875
04/16/2050,21.0,10.3,8.09,7.46,,29.4275
04/17/2050,20.0,10.2,8.06,7.37,,47.00428571428571
04/18/2050,19.5,10.1,7.9,7.26,,135.2775
04/19/2050,19.2,10.0,7.94,7.22,,95.73375
04/20/2050,17.7,9.97,7.97,7.33,,62.84875
04/21/2050,16.6,9.96,7.95,7.4,,53.06375
04/22/2050,16.6,10.1,7.92,7.18,,47.61
04/23/2050,15.9,10.1,7.89,7.32,,42.8625
04/24/2050,14.9,9.91,7.88,7.22,,51.46
04/25/2050,13.7,9.87,7.93,7.22,,48.765
04/26/2050,12.8,9.9,7.85,7.17,,43.540000000000006
04/27/2050,12.2,9.86,7.75,7.08,,44.35125
04/28/2050,11.8,9.66,7.72,7.04,,41.066250000000004
04/29/2050,11.3,162.0,7.69,7.0,,38.02125
04/30/2050,11.1,59.0,7.65,7.01,,41.728750000000005
05/01/2050,10.9,695.0,7.63,7.02,,38.77625
05/02/2050,10.9,584.0,7.6,7.02,,35.415
05/03/2050,11.0,123.0,7.56,7.01,,35.48375
05/04/2050,10.3,80.8,7.55,7.0,,65.5175
05/05/2050,10.1,63.8,7.55,6.97,,60.7775
05/06/2050,9.88,54.6,7.42,6.92,,49.10124999999999
05/07/2050,9.81,48.3,7.32,6.9,,43.88125000000001
05/08/2050,9.7,43.8,7.34,6.83,,49.614999999999995
05/09/2050,9.51,41.0,7.1,8.18,,58.24
05/10/2050,9.4,39.1,6.81,7.83,,56.23428571428571
05/11/2050,9.24,37.7,6.56,7.59,,54.57285714285714
05/12/2050,9.14,36.1,6.27,8.55,,66.01375
05/13/2050,9.05,34.5,6.18,41.8,,59.93875
05/14/2050,9.84,33.2,6.23,23.9,,75.31875000000001
05/15/2050,9.66,32.6,6.23,14.7,,113.04749999999999
05/16/2050,25.6,32.4,6.12,19.8,,103.16624999999999
05/17/2050,27.0,32.0,6.04,34.9,,167.07125
05/18/2050,23.3,34.2,5.91,24.1,,117.0175
05/19/2050,19.6,34.3,5.82,21.7,,144.42625
05/20/2050,16.3,30.7,5.83,24.6,,111.87625
05/21/2050,16.3,28.8,5.82,24.4,,101.22625
05/22/2050,14.5,27.7,5.69,24.1,,88.87875
05/23/2050,13.8,27.2,5.55,21.5,,72.56285714285714
05/24/2050,19.1,26.8,5.54,20.2,,67.01142857142857
05/25/2050,23.9,26.5,5.62,19.4,,192.54999999999998
05/26/2050,24.0,26.3,5.37,22.0,,171.18571428571428
05/27/2050,22.4,25.7,5.38,23.6,,164.625
05/28/2050,23.1,26.1,5.14,22.5,,125.7625
05/29/2050,25.0,38.3,4.97,21.4,,456.2625
05/30/2050,24.8,41.7,4.98,25.9,,310.11249999999995
05/31/2050,22.2,36.7,4.84,23.9,,325.06249999999994
06/01/2050,25.6,32.5,4.61,21.4,,244.5375
06/02/2050,26.0,29.7,4.32,20.9,,221.725
06/03/2050,27.9,31.4,4.13,23.7,,187.89999999999998
06/04/2050,26.2,31.9,4.05,20.9,,169.96250000000003
06/05/2050,23.4,30.5,3.94,20.6,,152.105
06/06/2050,21.0,29.0,3.71,21.7,,139.51375000000002
06/07/2050,18.7,26.8,3.46,27.3,,128.01749999999998
06/08/2050,16.9,25.5,3.13,34.6,,116.77999999999999
06/09/2050,15.2,25.5,2.89,24.5,,107.7625
06/10/2050,13.7,23.6,2.63,16.9,,100.25500000000001
06/11/2050,12.5,22.9,2.57,12.9,,94.47625000000001
06/12/2050,11.8,22.1,2.32,11.0,,89.44625
06/13/2050,11.0,21.4,2.08,10.2,,84.80125
06/14/2050,10.2,20.4,1.77,9.57,,81.5
06/15/2050,9.91,22.3,1.64,8.98,,79.97500000000001
06/16/2050,9.87,18.5,1.46,8.51,,85.42999999999999
06/17/2050,9.75,18.2,1.27,8.18,,81.27250000000001
06/18/2050,9.54,18.5,1.32,7.91,,108.97500000000001
06/19/2050,9.3,17.7,1.03,7.65,,118.61875
06/20/2050,9.56,17.6,1.16,7.38,,108.04624999999999
06/21/2050,11.5,16.2,1.09,6.87,,99.11875
06/22/2050,11.9,38.6,0.77,6.21,,98.93375
06/23/2050,11.8,23.1,0.72,5.48,,90.86
06/24/2050,11.3,22.0,0.76,4.87,,83.48625000000001
06/25/2050,10.6,20.7,0.85,4.33,,78.27374999999999
06/26/2050,11.1,19.5,1.01,3.8,,75.22875
06/27/2050,11.4,17.3,1.23,3.2,,74.6825
06/28/2050,14.2,15.9,1.78,2.62,,79.595
06/29/2050,16.2,16.8,2.01,2.1,,76.39874999999999
06/30/2050,15.6,15.2,2.08,1.6,,70.2225
07/01/2050,14.9,14.9,2.21,1.19,,65.4075
07/02/2050,14.3,15.3,2.28,3.46,,62.18874999999999
07/03/2050,13.5,14.9,2.34,4.44,,58.14999999999999
07/04/2050,12.2,15.7,2.28,2.8,,55.105000000000004
07/05/2050,11.8,22.9,2.14,2.04,,53.84625
07/06/2050,11.9,30.8,1.98,1.75,,50.886250000000004
07/07/2050,11.7,27.3,1.81,1.89,,47.94625
07/08/2050,11.0,22.4,1.71,1.59,,45.817499999999995
07/09/2050,10.0,20.1,1.69,1.42,,61.46625000000001
07/10/2050,9.32,20.3,2.13,1.05,,53.693749999999994
07/11/2050,8.6,20.3,2.26,0.85,,50.86
07/12/2050,7.59,19.2,2.08,0.78,,46.14625
07/13/2050,6.85,16.6,2.89,1.0,,41.51375
07/14/2050,6.77,14.0,2.0,1.48,,38.61
07/15/2050,6.68,13.9,2.5,3.21,,35.93875
07/16/2050,6.63,14.4,2.12,3.85,,33.545
07/17/2050,6.62,15.3,1.84,3.81,,30.966250000000002
07/18/2050,6.67,16.1,1.72,4.37,,29.81625
07/19/2050,6.37,15.3,1.6,5.0,,28.837500000000006
07/20/2050,6.67,15.4,1.45,5.02,,27.05125
07/21/2050,6.59,14.5,1.48,5.3,,25.061249999999998
07/22/2050,6.48,12.5,1.41,5.24,,24.25375
07/23/2050,6.39,11.5,1.25,5.0,,23.9125
07/24/2050,6.36,11.1,1.28,5.13,,22.525
07/25/2050,6.39,10.8,1.21,5.13,,21.787499999999998
07/26/2050,6.26,10.5,1.18,5.3,,21.02
07/27/2050,4.72,10.3,1.16,5.54,,19.47125
07/28/2050,5.84,10.1,1.17,5.41,,18.3225
07/29/2050,5.79,9.86,1.19,5.46,,16.8525
07/30/2050,5.59,10.1,1.06,4.93,,15.986250000000002
07/31/2050,6.04,9.46,0.93,5.14,,15.38875
08/01/2050,6.59,9.82,0.75,6.22,,14.68375
08/02/2050,6.0,33.8,0.68,6.27,,13.93625
08/03/2050,5.97,25.3,0.73,6.28,,13.385
08/04/2050,5.91,15.4,0.71,6.21,,14.703750000000001
08/05/2050,5.77,13.0,0.67,4.9,,16.455000000000002
08/06/2050,5.56,12.4,0.65,4.41,,15.60875
08/07/2050,5.28,11.7,0.67,4.31,,18.26875
08/08/2050,5.07,11.2,0.69,4.34,,17.22
08/09/2050,4.9,10.8,0.71,4.11,,17.12
08/10/2050,4.8,10.4,0.76,3.76,,15.95125
08/11/2050,4.63,10.1,0.78,3.67,,15.01125
08/12/2050,4.43,9.84,0.85,3.36,,14.36125
08/13/2050,4.13,9.7,0.88,3.25,,14.200000000000001
08/14/2050,4.07,9.47,0.87,3.57,,14.673750000000002
08/15/2050,4.26,9.27,1.0,3.41,,17.03875
08/16/2050,4.59,10.9,1.17,3.3,,18.76
08/17/2050,4.67,10.2,0.97,3.17,,18.8125
08/18/2050,4.71,9.89,0.85,3.29,,21.29125
08/19/2050,4.54,10.0,0.85,3.56,,24.59875
08/20/2050,4.37,10.3,0.76,3.0,,19.697499999999998
08/21/2050,4.36,9.95,0.52,2.82,,26.335
08/22/2050,4.11,9.26,0.48,3.06,,28.459999999999997
08/23/2050,3.97,8.81,0.71,4.26,,23.46875
08/24/2050,3.92,8.59,0.74,3.63,,19.851250000000004
08/25/2050,3.86,8.42,0.71,2.86,,17.81875
08/26/2050,3.78,8.46,0.59,2.78,,16.48625
08/27/2050,3.74,8.4,0.56,2.42,,15.55
08/28/2050,3.67,8.31,0.43,2.89,,14.287499999999998
08/29/2050,3.58,8.32,0.36,2.73,,13.52875
08/30/2050,3.42,8.32,326.0,2.16,,13.017500000000002
08/31/2050,3.34,8.6,56.7,1.9,,12.90875
09/01/2050,3.49,8.24,25.5,1.62,,12.58625
09/02/2050,3.54,8.11,11.3,1.73,,12.517500000000002
09/03/2050,4.71,8.03,9.0,1.47,,24.351250000000004
09/04/2050,4.41,8.0,8.63,1.44,,44.732499999999995
09/05/2050,3.37,7.98,8.34,1.23,,31.1175
09/06/2050,4.1,8.02,7.94,1.1,,42.584999999999994
09/07/2050,4.01,8.02,7.79,0.9,,34.6575
09/08/2050,3.79,7.97,7.72,0.7,,82.275
09/09/2050,4.03,7.9,7.45,0.54,,136.96624999999997
09/10/2050,4.08,7.89,6.86,0.57,,65.38625
09/11/2050,4.1,7.89,6.57,0.9,,46.84625
09/12/2050,3.93,7.86,6.19,0.95,,38.26625
09/13/2050,3.76,7.83,5.75,1.06,,36.50125
09/14/2050,3.86,7.76,5.51,1.66,,32.64875
09/15/2050,4.29,7.74,5.24,1.42,,43.8975
09/16/2050,4.29,7.71,4.93,1.49,,199.81375000000003
09/17/2050,4.19,7.67,4.58,1.36,,126.6225
09/18/2050,3.96,7.66,4.36,1.16,,81.58125
09/19/2050,4.0,7.65,4.27,1.06,,63.83624999999999
09/20/2050,3.96,7.62,4.11,0.77,,55.28375
09/21/2050,4.12,7.61,3.93,0.57,,56.588750000000005
09/22/2050,4.1,7.55,3.72,0.48,,112.03374999999998
09/23/2050,4.0,7.54,3.51,0.46,,55.76
09/24/2050,3.85,7.53,3.41,0.43,,49.06
09/25/2050,3.81,7.48,3.27,0.91,,46.778749999999995
09/26/2050,3.77,7.45,2.99,0.88,,63.55
09/27/2050,3.62,7.44,2.72,0.66,,59.722500000000004
09/28/2050,3.39,7.61,2.63,0.55,,56.72
09/29/2050,3.62,7.93,2.6,0.53,,57.64750000000001
09/30/2050,3.75,7.98,2.55,0.4,,52.237500000000004
10/01/2050,3.8,8.96,2.42,0.31,,48.2225
10/02/2050,3.97,8.96,2.33,0.25,,45.018750000000004
10/03/2050,4.17,8.72,2.33,0.23,,41.76
10/04/2050,4.27,8.25,2.38,0.22,,39.995
10/05/2050,4.2,8.2,2.4,3.63,,38.62499999999999
10/06/2050,4.12,8.41,2.36,1.31,,36.39875
10/07/2050,4.23,8.38,2.44,0.66,,34.817499999999995
10/08/2050,4.23,8.35,2.43,0.43,,33.96125
10/09/2050,4.28,8.4,2.46,0.27,,133.94750000000002
10/10/2050,4.27,8.58,2.55,0.2,,97.74375
10/11/2050,4.3,9.27,2.61,0.78,,59.81625
10/12/2050,4.27,9.46,2.58,2.1,,51.067499999999995
10/13/2050,4.43,9.85,2.5,2.23,,48.35125
10/14/2050,4.61,10.6,2.57,1.79,,44.80375
10/15/2050,4.68,11.1,2.66,0.75,,49.31375
10/16/2050,4.88,10.4,2.67,0.71,,18.077142857142857
10/17/2050,5.2,10.2,3.45,0.69,,138.46875
10/18/2050,5.34,10.2,3.08,0.54,,103.82499999999999
10/19/2050,5.2,10.2,3.15,0.49,,105.02000000000001
10/20/2050,5.1,10.1,3.2,0.44,,88.91375
10/21/2050,4.98,10.1,3.27,0.38,,77.37625000000001
10/22/2050,4.96,10.1,3.35,0.38,,69.64125000000001
10/23/2050,5.03,10.0,3.39,0.4,,66.33875
10/24/2050,5.1,10.1,3.5,0.71,,67.03249999999998
10/25/2050,5.04,10.0,3.14,1.05,,70.36125
10/26/2050,5.03,9.96,3.37,1.61,,63.2125
10/27/2050,5.18,11.4,3.52,1.35,,57.78875
10/28/2050,5.17,13.3,3.78,1.06,,53.0975
10/29/2050,5.18,12.4,3.55,0.93,,50.30624999999999
10/30/2050,5.19,12.4,3.6,0.86,,49.551249999999996
10/31/2050,5.18,12.4,3.61,0.73,,55.5125
11/01/2050,4.99,12.1,3.65,0.61,,49.43888888888889
11/02/2050,4.43,11.4,3.71,0.55,,44.20444444444445
11/03/2050,4.43,21.2,3.75,0.51,,42.374444444444435
11/04/2050,4.35,14.6,3.78,0.47,,42.245555555555555
11/05/2050,4.31,13.5,3.64,0.4,,42.31666666666666
11/06/2050,4.33,13.3,3.81,0.32,,40.644444444444446
11/07/2050,4.28,12.9,3.92,0.24,,38.88
11/08/2050,4.18,12.5,3.87,0.21,,38.33
11/09/2050,4.17,12.2,3.94,0.26,,39.05888888888889
11/10/2050,4.2,12.5,3.88,0.6,,38.60888888888889
11/11/2050,4.27,13.2,3.89,0.68,,37.598888888888894
11/12/2050,4.25,13.5,3.84,0.5,,36.20444444444444
11/13/2050,4.29,13.7,3.88,0.57,,34.46666666666667
11/14/2050,4.29,13.9,4.05,0.75,,33.62333333333333
11/15/2050,4.4,14.0,3.83,0.61,,32.93444444444444
11/16/2050,4.51,14.0,3.85,0.4,,32.458888888888886
11/17/2050,4.5,14.1,3.86,0.25,,32.541111111111114
11/18/2050,4.56,13.7,3.82,0.14,,31.923333333333332
11/19/2050,4.62,13.8,3.85,0.02,,31.490000000000002
11/20/2050,4.68,14.1,3.82,0.14,,30.943333333333335
11/21/2050,4.72,14.3,3.88,0.75,,30.073333333333338
11/22/2050,4.71,13.9,3.94,0.82,,29.79888888888889
11/23/2050,4.65,13.9,4.07,0.82,,29.56666666666667
11/24/2050,4.57,14.0,4.25,0.81,,29.26666666666667
11/25/2050,4.59,13.5,4.31,0.96,,29.13222222222222
11/26/2050,4.86,13.3,4.68,1.22,,29.70888888888889
11/27/2050,5.31,13.6,4.02,1.25,,33.62666666666666
11/28/2050,6.24,13.3,3.92,1.17,,68.17666666666666
11/29/2050,6.56,13.2,3.99,1.07,,54.39333333333334
11/30/2050,6.77,13.2,3.81,1.12,,46.264444444444436
12/01/2050,7.08,13.3,3.89,1.23,,41.73555555555556
12/02/2050,7.27,14.1,4.11,1.06,,39.623333333333335
12/03/2050,7.38,14.9,4.11,0.94,,41.93222222222223
12/04/2050,7.53,14.7,4.25,0.84,,42.312222222222225
12/05/2050,7.59,13.9,4.35,0.76,,46.2988888888889
12/06/2050,7.66,13.4,4.43,0.73,,48.41111111111111
12/07/2050,7.66,13.5,4.43,0.72,,48.84444444444444
12/08/2050,7.73,13.4,4.42,0.75,,52.80444444444444
12/09/2050,7.78,13.2,4.42,0.7,,47.114444444444445
12/10/2050,7.82,13.0,4.51,0.61,,43.215555555555554
12/11/2050,7.87,12.7,4.58,0.53,,40.897777777777776
12/12/2050,7.89,12.9,4.6,0.27,,39.09888888888889
12/13/2050,7.91,12.9,4.69,0.3,,48.23111111111112
12/14/2050,7.89,13.0,4.71,0.42,,45.870000000000005
12/15/2050,7.97,13.0,5.04,0.6,,42.64
12/16/2050,8.0,13.0,5.17,0.61,,40.48444444444444
12/17/2050,8.07,13.4,5.19,0.23,,39.17666666666666
12/18/2050,8.12,12.9,5.28,0.14,,37.80777777777777
12/19/2050,8.2,12.8,5.42,0.17,,36.93333333333334
12/20/2050,8.15,12.7,5.38,0.14,,36.25444444444445
12/21/2050,8.17,12.6,5.36,0.17,,35.70555555555555
12/22/2050,8.19,12.7,5.46,0.32,,35.26777777777778
12/23/2050,8.29,12.6,5.27,0.39,,34.663333333333334
12/24/2050,8.58,12.5,5.47,0.85,,34.14888888888889
12/25/2050,8.72,12.5,5.61,0.79,,34.04333333333333
12/26/2050,8.76,12.4,5.78,0.74,,36.28666666666667
12/27/2050,8.85,12.5,5.85,0.99,,59.49111111111111
12/28/2050,8.94,12.5,5.99,1.2,,51.47
12/29/2050,9.02,12.4,6.11,1.35,,45.30888888888889
12/30/2050,9.1,12.3,6.26,1.49,,41.86222222222222
12/31/2050,9.4,12.3,6.45,1.58,,40.44444444444444
